,selic,usd_brl,ibc_br,ipca_mom,pib_yoy,selic_change,usd_ret,usd_vol_20d,ibc_br_yoy,ipca_12m,juro_real
2010-01-04,0.0875,1.7232,88.30825,30.402199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0875
2010-01-05,0.0875,1.7219,88.30825,30.402199999999997,0.0,0.0,-0.0007546951099840252,0.0,0.0,0.0,0.0875
2010-01-06,0.0875,1.7329,88.30825,30.402199999999997,0.0,0.0,0.006367973354059673,0.0,0.0,0.0,0.0875
2010-01-07,0.0875,1.7405,88.30825,30.402199999999997,0.0,0.0,0.00437612260529387,0.0,0.0,0.0,0.0875
2010-01-08,0.0875,1.7382,88.30825,30.402199999999997,0.0,0.0,-0.0013223332481338231,0.0,0.0,0.0,0.0875
2010-01-09,0.0875,1.7382,88.30825,30.402199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0875
2010-01-10,0.0875,1.7382,88.30825,30.402199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0875
2010-01-11,0.0875,1.7315,88.30825,30.402199999999997,0.0,0.0,-0.003862010160883071,0.0,0.0,0.0,0.0875
2010-01-12,0.0875,1.7431,88.30825,30.402199999999997,0.0,0.0,0.0066770523783430645,0.0,0.0,0.0,0.0875
2010-01-13,0.0875,1.7434,88.30825,30.402199999999997,0.0,0.0,0.00017209235665597563,0.0,0.0,0.0,0.0875
2010-01-14,0.0875,1.764,88.30825,30.402199999999997,0.0,0.0,0.011746727989260916,0.0,0.0,0.0,0.0875
2010-01-15,0.0875,1.7703,88.30825,30.402199999999997,0.0,0.0,0.0035650661644961446,0.0,0.0,0.0,0.0875
2010-01-16,0.0875,1.7703,88.30825,30.402199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0875
2010-01-17,0.0875,1.7703,88.30825,30.402199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0875
2010-01-18,0.0875,1.7713,88.30825,30.402199999999997,0.0,0.0,0.0005647165273184044,0.0,0.0,0.0,0.0875
2010-01-19,0.0875,1.7739,88.30825,30.402199999999997,0.0,0.0,0.0014667722363426738,0.0,0.0,0.0,0.0875
2010-01-20,0.0875,1.7846,88.30825,30.402199999999997,0.0,0.0,0.006013787971157062,0.003624400166651873,0.0,0.0,0.0875
2010-01-21,0.0875,1.7895,88.30825,30.402199999999997,0.0,0.0,0.00274195074002954,0.0036065124964321685,0.0,0.0,0.0875
2010-01-22,0.0875,1.8179,88.30825,30.402199999999997,0.0,0.0,0.015745737517935555,0.004719602556799093,0.0,0.0,0.0875
2010-01-23,0.0875,1.8179,88.30825,30.402199999999997,0.0,0.0,0.0,0.004719602556799093,0.0,0.0,0.0875
2010-01-24,0.0875,1.8179,88.30825,30.402199999999997,0.0,0.0,0.0,0.004719602556799093,0.0,0.0,0.0875
2010-01-25,0.0875,1.8186,88.30825,30.402199999999997,0.0,0.0,0.0003849855677962989,0.004682750259784762,0.0,0.0,0.0875
2010-01-26,0.0875,1.8359,88.30825,30.402199999999997,0.0,0.0,0.009467850174347448,0.004857474893089604,0.0,0.0,0.0875
2010-01-27,0.0875,1.8505,88.30825,30.402199999999997,0.0,0.0,0.007921048360050635,0.004977859090103753,0.0,0.0,0.0875
2010-01-28,0.0875,1.8552,88.30825,30.402199999999997,0.0,0.0,0.00253663411511121,0.00487255917846287,0.0,0.0,0.0875
2010-01-29,0.0875,1.874,88.30825,30.402199999999997,0.0,0.0,0.010082676857045588,0.005036661337017614,0.0,0.0,0.0875
2010-01-30,0.0875,1.874,88.30825,30.402199999999997,0.0,0.0,0.0,0.005036661337017614,0.0,0.0,0.0875
2010-01-31,0.0875,1.874,88.30825,30.402199999999997,0.0,0.0,0.0,0.004797358410831208,0.0,0.0,0.0875
2010-02-01,0.0875,1.8765,89.57084,30.6393,0.0,0.0,0.0013331557767080303,0.004786538409513577,0.0,0.0,0.0875
2010-02-02,0.0875,1.8355,89.57084,30.6393,0.0,0.0,-0.022091415638186614,0.007478756321443982,0.0,0.0,0.0875
2010-02-03,0.0875,1.8329,89.57084,30.6393,0.0,0.0,-0.0014175119590868171,0.007203186765980385,0.0,0.0,0.0875
2010-02-04,0.0875,1.8707,89.57084,30.6393,0.0,0.0,0.020413280377056683,0.008306866521317922,0.0,0.0,0.0875
2010-02-05,0.0875,1.8745,89.57084,30.6393,0.0,0.0,0.002029264821107835,0.008283764867978738,0.0,0.0,0.0875
2010-02-06,0.0875,1.8745,89.57084,30.6393,0.0,0.0,0.0,0.008283764867978738,0.0,0.0,0.0875
2010-02-07,0.0875,1.8745,89.57084,30.6393,0.0,0.0,0.0,0.008292956354494252,0.0,0.0,0.0875
2010-02-08,0.0875,1.8722,89.57084,30.6393,0.0,0.0,-0.0012277472383224036,0.00833805758306382,0.0,0.0,0.0875
2010-02-09,0.0875,1.8542,89.57084,30.6393,0.0,0.0,-0.009660873764762245,0.008736981932173475,0.0,0.0,0.0875
2010-02-10,0.0875,1.8475,89.57084,30.6393,0.0,0.0,-0.0036199623505252763,0.008820623008903627,0.0,0.0,0.0875
2010-02-11,0.0875,1.8508,89.57084,30.6393,0.0,0.0,0.0017846042104877526,0.008170251922865744,0.0,0.0,0.0875
